layer,winner_raw,margin_top1_top2_raw,gold_margin_opts_raw,winner_tuned,margin_top1_top2_tuned,gold_margin_opts_tuned,logit_raw[ 65],logit_tuned[ 65],logit_raw[ 66],logit_tuned[ 66],logit_raw[ 64],logit_tuned[ 64],logit_raw[ 67],logit_tuned[ 67]
0, 64,1.6732478141784668,-3.018693447113037, 65,0.3343048095703125,0.3343048095703125,-0.4522113800048828,-136.93446350097656,0.8932342529296875,-137.3127899169922,2.5664820671081543,-137.26876831054688,0.2020702362060547,-137.33682250976562
1, 64,2.8721752166748047,-2.8721752166748047, 65,0.475433349609375,0.475433349609375,0.9329648017883301,-139.4036407470703,0.5164966583251953,-139.98294067382812,3.8051400184631348,-139.8790740966797,0.5489797592163086,-140.0894012451172
2, 64,1.6366772651672363,-1.6366772651672363, 65,0.473114013671875,0.473114013671875,0.5003452301025391,-142.24659729003906,-1.0809993743896484,-142.93247985839844,2.1370224952697754,-142.72604370117188,-0.3897695541381836,-142.71971130371094
3, 64,1.8827991485595703,-1.8827991485595703, 65,0.267120361328125,0.267120361328125,1.3018007278442383,-148.75747680664062,-1.7181148529052734,-149.2147979736328,3.1845998764038086,-149.02459716796875,-0.963252067565918,-149.11309814453125
4, 64,4.092652320861816,-4.092652320861816, 65,0.2778778076171875,0.2778778076171875,-1.8782801628112793,-145.14491271972656,-5.213364601135254,-145.62265014648438,2.214372158050537,-145.42279052734375,-4.034420967102051,-145.537109375
5, 64,5.066020488739014,-5.066020488739014, 65,0.1413726806640625,0.1413726806640625,-7.853461265563965,-172.86631774902344,-11.160948753356934,-173.1874542236328,-2.787440776824951,-173.0076904296875,-10.399670600891113,-173.2254180908203
6, 64,6.825418472290039,-6.825418472290039, 65,0.16253662109375,0.16253662109375,-10.754313468933105,-165.9840545654297,-12.973156929016113,-166.29693603515625,-3.9288949966430664,-166.14659118652344,-13.224425315856934,-166.29917907714844
7, 64,7.450991630554199,-7.450991630554199, 65,0.0521392822265625,0.0521392822265625,-13.485944747924805,-165.27821350097656,-17.784656524658203,-165.60757446289062,-6.0349531173706055,-165.33035278320312,-17.570798873901367,-165.6649169921875
8, 64,7.199471473693848,-7.199471473693848, 64,0.0146942138671875,-0.0146942138671875,-14.487127304077148,-172.7202606201172,-21.51309585571289,-173.11033630371094,-7.287655830383301,-172.70556640625,-20.26566505432129,-173.16168212890625
9, 64,9.089422702789307,-9.089422702789307, 64,0.0596771240234375,-0.0596771240234375,-16.073434829711914,-180.96238708496094,-21.907329559326172,-181.36416625976562,-6.984012126922607,-180.9027099609375,-19.897476196289062,-181.44200134277344
10, 64,7.019926071166992,-7.019926071166992, 64,0.041351318359375,-0.041351318359375,-18.005603790283203,-180.88587951660156,-25.649404525756836,-181.25015258789062,-10.985677719116211,-180.8445281982422,-22.546167373657227,-181.36294555664062
11, 64,7.34135627746582,-7.34135627746582, 64,0.0716552734375,-0.0716552734375,-17.041894912719727,-176.713623046875,-25.82920265197754,-177.08624267578125,-9.700538635253906,-176.6419677734375,-23.08578872680664,-177.14178466796875
12, 64,10.049479961395264,-10.049479961395264, 65,0.01983642578125,0.01983642578125,-16.90167999267578,-181.74908447265625,-22.42509651184082,-182.0800323486328,-6.852200031280518,-181.7689208984375,-19.09499740600586,-182.1681671142578
13, 64,12.075021743774414,-12.075021743774414, 65,0.027984619140625,0.027984619140625,-26.516956329345703,-174.4990234375,-30.137088775634766,-174.81219482421875,-14.441934585571289,-174.52700805664062,-27.2556209564209,-174.87289428710938
14, 64,11.91847038269043,-11.91847038269043, 64,0.0013427734375,-0.0013427734375,-30.000324249267578,-167.5873260498047,-37.06238555908203,-167.91062927246094,-18.08185386657715,-167.5859832763672,-31.057174682617188,-167.92738342285156
15, 64,10.780342102050781,-11.264713287353516, 65,0.0453643798828125,0.0453643798828125,-36.662254333496094,-168.38827514648438,-42.90398406982422,-168.7020263671875,-25.397541046142578,-168.4336395263672,-36.17788314819336,-168.72756958007812
16, 64,14.602035522460938,-16.590457916259766, 65,0.0213470458984375,0.0213470458984375,-48.56204605102539,-151.68788146972656,-54.70392608642578,-152.00030517578125,-31.971588134765625,-151.709228515625,-46.57362365722656,-151.96075439453125
17, 64,12.904853820800781,-12.904853820800781, 65,0.0702667236328125,0.0702667236328125,-56.88573455810547,-154.78768920898438,-67.86518096923828,-155.0950927734375,-43.98088073730469,-154.8579559326172,-59.289215087890625,-155.05929565429688
18, 64,12.461483001708984,-12.461483001708984, 65,0.0668487548828125,0.0668487548828125,-66.01319122314453,-159.03042602539062,-80.65597534179688,-159.33314514160156,-53.55170822143555,-159.09727478027344,-72.3514404296875,-159.3186798095703
19, 64,11.275978088378906,-11.275978088378906, 65,0.1129150390625,0.1129150390625,-76.55172729492188,-164.70733642578125,-94.79505920410156,-165.00543212890625,-65.27574920654297,-164.82025146484375,-87.52749633789062,-164.9652557373047
20, 64,8.352752685546875,-8.352752685546875, 65,0.162689208984375,0.162689208984375,-86.260009765625,-168.07644653320312,-108.55377197265625,-168.40504455566406,-77.90725708007812,-168.2391357421875,-100.78404235839844,-168.3724822998047
21, 64,11.054214477539062,-11.054214477539062, 65,0.1264801025390625,0.1264801025390625,-110.49688720703125,-175.73561096191406,-137.32606506347656,-176.05482482910156,-99.44267272949219,-175.86209106445312,-130.61663818359375,-176.01551818847656
22, 64,11.00244140625,-11.00244140625, 65,0.1134796142578125,0.1134796142578125,-141.9698486328125,-173.4483184814453,-171.9149932861328,-173.70938110351562,-130.9674072265625,-173.56179809570312,-169.6826171875,-173.71041870117188
23, 65,0.073577880859375,0.073577880859375, 65,0.045074462890625,0.045074462890625,-170.736328125,-173.1378173828125,-171.01400756835938,-173.3429412841797,-170.80990600585938,-173.18289184570312,-170.92446899414062,-173.5257568359375
