layer,branch,top1_top2_full,gold_full
0,full_raw,2.8925533294677734,-26.720489501953125
1,full_raw,2.8338661193847656,-29.174453735351562
2,full_raw,2.445497512817383,-30.256771087646484
3,full_raw,2.135427474975586,-31.491527557373047
4,full_raw,1.4230384826660156,-33.947845458984375
5,full_raw,0.9966163635253906,-37.680423736572266
6,full_raw,4.307015419006348,-39.17405700683594
7,full_raw,0.7018537521362305,-38.04946517944336
8,full_raw,1.8359193801879883,-44.369014739990234
9,full_raw,5.847077369689941,-49.8760986328125
10,full_raw,3.594407081604004,-48.94103240966797
11,full_raw,8.942031860351562,-54.820037841796875
12,full_raw,9.243040084838867,-56.52806091308594
13,full_raw,14.978236198425293,-69.63262939453125
14,full_raw,19.54619598388672,-77.72503662109375
15,full_raw,23.016366958618164,-93.78977966308594
16,full_raw,23.258949279785156,-111.08668518066406
17,full_raw,21.732894897460938,-138.36239624023438
18,full_raw,10.7088623046875,-156.11288452148438
19,full_raw,8.86767578125,-191.25146484375
20,full_raw,3.33465576171875,-223.62330627441406
21,full_raw,3.6209869384765625,-287.84075927734375
22,full_raw,0.2053375244140625,-386.5467529296875
23,full_raw,0.029266357421875,-6.801544189453125
0,full_tuned,0.3745574951171875,-3.7666473388671875
1,full_tuned,0.194549560546875,-3.7349090576171875
2,full_tuned,0.3292999267578125,-3.7467041015625
3,full_tuned,0.1952667236328125,-3.429931640625
4,full_tuned,0.30413818359375,-3.43499755859375
5,full_tuned,0.2140045166015625,-3.62359619140625
6,full_tuned,0.430633544921875,-3.64422607421875
7,full_tuned,0.294891357421875,-3.68878173828125
8,full_tuned,0.2766265869140625,-3.7017364501953125
9,full_tuned,0.3379974365234375,-3.7191162109375
10,full_tuned,0.400360107421875,-3.6739959716796875
11,full_tuned,0.3657379150390625,-3.5960235595703125
12,full_tuned,0.387664794921875,-3.4665679931640625
13,full_tuned,0.537811279296875,-3.7115936279296875
14,full_tuned,0.6747894287109375,-3.789764404296875
15,full_tuned,0.7227783203125,-3.761993408203125
16,full_tuned,0.2753753662109375,-3.790985107421875
17,full_tuned,0.798309326171875,-3.9325408935546875
18,full_tuned,0.6067047119140625,-3.950225830078125
19,full_tuned,0.021087646484375,-4.015289306640625
20,full_tuned,0.2216033935546875,-5.6735382080078125
21,full_tuned,0.0350799560546875,-6.2407073974609375
22,full_tuned,0.024078369140625,-4.148712158203125
23,full_tuned,0.281829833984375,-4.1016998291015625
